geoid,geoid20,year,denom_total_pop,well_count,well_rate
1400000US06037115403,6037115403,2020,3597,0,0
1400000US06037115404,6037115404,2020,2897,0,0
1400000US06037117101,6037117101,2020,5094,0,0
1400000US06037117102,6037117102,2020,2745,0,0
1400000US06037117201,6037117201,2020,5126,0,0
1400000US06037117202,6037117202,2020,2857,0,0
1400000US06037117301,6037117301,2020,3679,0,0
1400000US06037117302,6037117302,2020,4932,0,0
1400000US06037117303,6037117303,2020,4369,0,0
1400000US06037117404,6037117404,2020,5646,0,0
1400000US06037117405,6037117405,2020,3421,0,0
1400000US06037117407,6037117407,2020,3715,0,0
1400000US06037117408,6037117408,2020,2803,0,0
1400000US06037117510,6037117510,2020,3661,0,0
1400000US06037117520,6037117520,2020,4226,0,0
1400000US06037117530,6037117530,2020,6231,0,0
1400000US06037119001,6037119001,2020,4583,0,0
1400000US06037119003,6037119003,2020,4425,0,0
1400000US06037119004,6037119004,2020,3353,0,0
1400000US06037119201,6037119201,2020,4426,0,0
1400000US06037119202,6037119202,2020,4756,11,23.128679
1400000US06037119310,6037119310,2020,4297,0,0
1400000US06037119320,6037119320,2020,4735,0,0
1400000US06037119340,6037119340,2020,4031,0,0
1400000US06037119341,6037119341,2020,2825,0,0
1400000US06037119342,6037119342,2020,3009,0,0
1400000US06037119400,6037119400,2020,5564,0,0
1400000US06037119700,6037119700,2020,4925,0,0
1400000US06037119801,6037119801,2020,2648,0,0
1400000US06037119802,6037119802,2020,3340,0,0
1400000US06037119900,6037119900,2020,5123,0,0
1400000US06037120010,6037120010,2020,2796,0,0
1400000US06037120020,6037120020,2020,3872,0,0
1400000US06037120030,6037120030,2020,2500,0,0
1400000US06037120103,6037120103,2020,3376,0,0
1400000US06037120104,6037120104,2020,2243,0,0
1400000US06037120105,6037120105,2020,2694,0,0
1400000US06037120106,6037120106,2020,4519,0,0
1400000US06037120107,6037120107,2020,4060,0,0
1400000US06037120108,6037120108,2020,4592,0,0
1400000US06037120300,6037120300,2020,5066,0,0
1400000US06037120400,6037120400,2020,6533,0,0
1400000US06037121010,6037121010,2020,4737,0,0
1400000US06037121020,6037121020,2020,3701,0,0
1400000US06037121101,6037121101,2020,3128,0,0
1400000US06037121102,6037121102,2020,2247,0,0
1400000US06037121210,6037121210,2020,3077,0,0
1400000US06037121221,6037121221,2020,2379,0,0
1400000US06037121222,6037121222,2020,4688,0,0
1400000US06037121600,6037121600,2020,2838,0,0
1400000US06037121801,6037121801,2020,3165,0,0
1400000US06037121802,6037121802,2020,3088,0,0
1400000US06037121900,6037121900,2020,3686,0,0
1400000US06037122000,6037122000,2020,5390,0,0
1400000US06037122120,6037122120,2020,4772,0,0
1400000US06037122121,6037122121,2020,2909,0,0
1400000US06037122122,6037122122,2020,2644,0,0
1400000US06037122200,6037122200,2020,3542,0,0
1400000US06037122410,6037122410,2020,3471,0,0
1400000US06037122420,6037122420,2020,5029,0,0
1400000US06037123010,6037123010,2020,3911,0,0
1400000US06037123020,6037123020,2020,3028,0,0
1400000US06037123103,6037123103,2020,3816,0,0
1400000US06037123104,6037123104,2020,4848,0,0
1400000US06037123203,6037123203,2020,3446,0,0
1400000US06037123204,6037123204,2020,3508,0,0
1400000US06037123205,6037123205,2020,2716,0,0
1400000US06037123206,6037123206,2020,2323,0,0
1400000US06037123301,6037123301,2020,4467,0,0
1400000US06037123303,6037123303,2020,2860,0,0
1400000US06037123304,6037123304,2020,4581,0,0
1400000US06037123410,6037123410,2020,3861,0,0
1400000US06037123420,6037123420,2020,5015,0,0
1400000US06037123510,6037123510,2020,5200,0,0
1400000US06037123520,6037123520,2020,2799,0,0
1400000US06037123601,6037123601,2020,4961,0,0
1400000US06037123602,6037123602,2020,3435,1,2.9112082
1400000US06037123700,6037123700,2020,4612,0,0
1400000US06037123800,6037123800,2020,5941,0,0
1400000US06037123901,6037123901,2020,4862,0,0
1400000US06037123902,6037123902,2020,2653,0,0
1400000US06037124000,6037124000,2020,5225,0,0
1400000US06037124102,6037124102,2020,3600,0,0
1400000US06037124103,6037124103,2020,1889,1,5.2938061
1400000US06037124104,6037124104,2020,2577,0,0
1400000US06037124105,6037124105,2020,2287,0,0
1400000US06037124201,6037124201,2020,3548,0,0
1400000US06037124203,6037124203,2020,2216,0,0
1400000US06037124204,6037124204,2020,1867,0,0
1400000US06037124300,6037124300,2020,2892,0,0
1400000US06037124400,6037124400,2020,4855,0,0
1400000US06037124500,6037124500,2020,2807,0,0
1400000US06037124600,6037124600,2020,2606,0,0
1400000US06037124700,6037124700,2020,5606,0,0
1400000US06037124902,6037124902,2020,3075,0,0
1400000US06037124903,6037124903,2020,3746,0,0
1400000US06037125101,6037125101,2020,3567,0,0
1400000US06037125102,6037125102,2020,2121,0,0
1400000US06037125200,6037125200,2020,4006,1,2.4962556
1400000US06037125310,6037125310,2020,3844,0,0
1400000US06037125321,6037125321,2020,3089,0,0
1400000US06037125322,6037125322,2020,2052,0,0
1400000US06037125402,6037125402,2020,4139,0,0
1400000US06037125403,6037125403,2020,2576,0,0
1400000US06037125404,6037125404,2020,2694,0,0
1400000US06037125501,6037125501,2020,2886,0,0
1400000US06037125502,6037125502,2020,3631,0,0
1400000US06037125600,6037125600,2020,2963,0,0
1400000US06037127102,6037127102,2020,5525,1,1.8099548
1400000US06037127103,6037127103,2020,3020,0,0
1400000US06037127104,6037127104,2020,4183,0,0
1400000US06037127210,6037127210,2020,5933,0,0
1400000US06037127220,6037127220,2020,4959,0,0
1400000US06037127300,6037127300,2020,3693,0,0
1400000US06037127400,6037127400,2020,6414,0,0
1400000US06037127520,6037127520,2020,4875,0,0
1400000US06037127603,6037127603,2020,2855,0,0
1400000US06037127604,6037127604,2020,3285,0,0
1400000US06037127605,6037127605,2020,4016,0,0
1400000US06037127606,6037127606,2020,3133,0,0
1400000US06037127711,6037127711,2020,3271,0,0
1400000US06037127712,6037127712,2020,3858,0,0
1400000US06037127803,6037127803,2020,4907,0,0
1400000US06037127804,6037127804,2020,4832,0,0
1400000US06037127805,6037127805,2020,3511,0,0
1400000US06037127806,6037127806,2020,3015,0,0
1400000US06037127910,6037127910,2020,5131,0,0
1400000US06037127920,6037127920,2020,4710,0,0
1400000US06037128101,6037128101,2020,3344,0,0
1400000US06037128102,6037128102,2020,4958,0,0
1400000US06037128210,6037128210,2020,5296,0,0
1400000US06037128220,6037128220,2020,2858,0,0
1400000US06037128302,6037128302,2020,5096,0,0
1400000US06037128303,6037128303,2020,4063,0,0
1400000US06037128400,6037128400,2020,4547,0,0
1400000US06037128500,6037128500,2020,4205,0,0
1400000US06037128601,6037128601,2020,5052,0,0
1400000US06037128602,6037128602,2020,3217,0,0
1400000US06037128703,6037128703,2020,3077,0,0
1400000US06037128704,6037128704,2020,2242,0,0
1400000US06037128801,6037128801,2020,3673,1,2.7225702
1400000US06037128802,6037128802,2020,4343,0,0
1400000US06037128910,6037128910,2020,4805,0,0
1400000US06037131021,6037131021,2020,3463,0,0
1400000US06037131022,6037131022,2020,3011,0,0
1400000US06037131023,6037131023,2020,2968,0,0
1400000US06037131024,6037131024,2020,4120,0,0
1400000US06037131100,6037131100,2020,3293,0,0
1400000US06037131200,6037131200,2020,3537,0,0
1400000US06037131300,6037131300,2020,4988,0,0
1400000US06037131400,6037131400,2020,6679,0,0
1400000US06037131600,6037131600,2020,4983,0,0
1400000US06037131701,6037131701,2020,5424,0,0
1400000US06037131702,6037131702,2020,3815,0,0
1400000US06037131801,6037131801,2020,3157,0,0
1400000US06037131802,6037131802,2020,3039,0,0
1400000US06037131900,6037131900,2020,4623,0,0
1400000US06037132001,6037132001,2020,3473,0,0
1400000US06037132002,6037132002,2020,3699,0,0
1400000US06037132101,6037132101,2020,4727,0,0
1400000US06037132102,6037132102,2020,5027,0,0
1400000US06037132301,6037132301,2020,4189,0,0
1400000US06037132302,6037132302,2020,3516,0,0
1400000US06037132501,6037132501,2020,4553,0,0
1400000US06037132502,6037132502,2020,3358,0,0
1400000US06037132700,6037132700,2020,4882,0,0
1400000US06037132900,6037132900,2020,3882,0,0
1400000US06037133000,6037133000,2020,4866,0,0
1400000US06037133101,6037133101,2020,1782,0,0
1400000US06037133102,6037133102,2020,3944,0,0
1400000US06037134001,6037134001,2020,3623,0,0
1400000US06037134002,6037134002,2020,3849,0,0
1400000US06037134101,6037134101,2020,5455,0,0
1400000US06037134103,6037134103,2020,4645,0,0
1400000US06037134104,6037134104,2020,4502,0,0
1400000US06037134201,6037134201,2020,4941,0,0
1400000US06037134302,6037134302,2020,4136,0,0
1400000US06037134303,6037134303,2020,5618,0,0
1400000US06037134304,6037134304,2020,2908,0,0
1400000US06037134305,6037134305,2020,3961,0,0
1400000US06037134306,6037134306,2020,4468,0,0
1400000US06037134421,6037134421,2020,4609,0,0
1400000US06037134422,6037134422,2020,4681,1,2.1362956
1400000US06037134423,6037134423,2020,3537,0,0
1400000US06037134424,6037134424,2020,2947,3,10.179844
